Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
136,-32,"TWICE - TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",16,30,,"66,042","-4,527","1,452,426"
137,+11,Vance Joy - Riptide,498,14,,"65,927","+3,097","30,246,163"
138,+14,Miguel - Sure Thing,212,3,(x2),"65,892","+3,457","18,412,176"
139,-22,Creed - One Last Breath,49,68,,"65,540","-2,182","3,370,522"
140,-21,TWICE - Strategy,15,45,,"65,331","-2,155","1,238,490"
141,+4,H.E.R. - Best Part (w/ Daniel Caesar),114,103,,"64,973","+1,996","6,017,908"
142,-26,The Cranberries - Linger,70,54,,"64,894","-3,163","4,584,724"
143,+7,Tears For Fears - Everybody Wants To Rule The World,154,52,,"64,667","+1,968","9,422,731"
144,-13,"Drake - One Dance (w/ Wizkid, Kyla)",279,1,(x13),"64,380",-232,"22,667,861"
145,+25,Tate McRae - greedy,98,2,(x2),"64,180","+4,179","12,347,185"
146,-17,Commodores - Easy,26,105,,"64,152",-670,"1,551,417"
147,RE,Luke Combs - Fast Car,109,10,,"63,851",,"10,411,281"
148,+42,Justin Timberlake - My Love (w/ T.I.),2,148,,"63,657","+6,184","121,130"
149,-16,The Marías - Sienna,6,115,,"63,635",-806,"373,818"
150,+12,Sublime - Santeria,70,81,,"63,597","+2,652","4,275,436"
151,-17,Don Toliver - No Pole,48,57,,"63,537",-691,"3,328,908"
152,+14,Bruno Mars - Locked out of Heaven,100,44,,"63,327","+2,976","5,513,702"
153,-13,Disclosure - Latch (w/ Sam Smith),131,23,,"63,309",-357,"4,239,061"
154,+40,Justin Timberlake - Rock Your Body,10,148,,"63,203","+6,300","557,449"
155,-2,J. Cole - No Role Modelz,520,12,,"63,138",+914,"33,742,496"
156,-5,Alex Warren - Bloodline (w/ Jelly Roll),21,9,,"63,105",+430,"1,935,627"
157,+6,SZA - Snooze,146,8,,"63,104","+2,174","15,593,946"
158,+1,Rihanna - Where Have You Been,2,158,,"62,651","+1,131","124,171"
159,+14,"Timbaland - The Way I Are (w/ Keri Hilson, D.O.E.)",45,119,,"62,645","+3,168","2,739,259"
160,-30,Doja Cat - Jealous Type,8,29,,"62,632","-2,173","684,724"
161,-19,Rihanna - Stay (w/ Mikky Ekko),49,104,,"62,511",-966,"2,773,494"
162,-13,Tate McRae - Revolving door,28,15,,"62,399",-326,"2,536,437"
163,-25,Olivia Dean - I've Seen It,3,138,,"62,318","-1,467","188,377"
164,NEW,JISOO - EYES CLOSED (w/ ZAYN),1,164,,"62,233",,"62,233"
165,+7,AC/DC - Thunderstruck,32,125,,"62,215","+2,612","1,808,774"
166,+30,Ed Sheeran - Perfect,284,6,,"62,199","+5,391","19,539,945"
167,+21,Red Hot Chili Peppers - Otherside,8,120,,"62,173","+4,603","506,332"
168,=,Noah Kahan - Stick Season,106,2,(x2),"61,923","+1,697","15,115,333"
169,-22,Kanye West - All Falls Down (w/ Syleena Johnson),101,70,,"61,871",-997,"6,097,240"
170,-24,The Weeknd - Timeless (w/ Playboi Carti),55,8,,"61,785","-1,097","6,337,557"
171,+3,Coldplay - The Scientist,52,17,,"61,546","+2,090","3,393,874"
172,+21,Tame Impala - Dracula,2,172,,"61,441","+4,328","118,554"
173,-9,Lorde - Ribs,51,11,,"61,280",+439,"2,094,670"
174,-5,Guns N' Roses - Sweet Child O' Mine,135,84,,"61,219","+1,137","6,834,206"
175,-52,Sabrina Carpenter - Nobody’s Son,7,21,,"61,071","-5,799","754,407"
176,-16,Frank Ocean - Pink + White,172,22,,"61,058",-202,"14,408,709"
177,+18,Red Hot Chili Peppers - Californication,42,65,,"60,925","+4,027","2,134,793"
178,RE,Olivia Dean - Ok Love You Bye,4,114,,"60,872",,"253,266"
179,+3,Linkin Park - In the End,37,48,,"60,795","+2,594","2,245,840"
180,-1,Bruno Mars - That's What I Like,149,3,(x1),"60,509","+2,054","12,985,764"
181,+2,oskar med k - Make Me Feel,10,125,,"60,379","+2,203","595,405"
182,RE,Bruce Springsteen - Dancing In the Dark,76,57,,"60,361",,"5,384,375"
183,-7,Sam Barber - Indigo (w/ Avery Anna),44,22,,"60,361","+1,127","4,269,611"
184,-43,Rihanna - Love On The Brain,85,31,,"60,230","-3,289","4,493,674"
185,RE,"Earth, Wind & Fire - September",107,59,,"60,139",,"6,217,665"
186,RE,Sam Smith - I'm Not The Only One,84,3,(x1),"60,059",,"2,778,727"
187,-26,Leon Thomas - MUTT,41,16,,"60,016","-1,158","4,204,826"
188,+4,Fleetwood Mac - Silver Springs - 2004 Remaster,10,172,,"59,986","+2,823","550,193"
189,-22,Nirvana - Come As You Are - Remastered,30,116,,"59,743",-492,"1,713,263"
190,-12,Nirvana - Smells Like Teen Spirit - Remastered,112,117,,"59,735",+853,"5,714,522"
191,NEW,Stevie Nicks - Edge of Seventeen - 2016 Remaster,1,191,,"59,672",,"59,672"
192,-5,Ed Sheeran - Azizam,28,35,,"59,515","+1,944","2,157,114"
193,RE,Bruno Mars - Just the Way You Are,89,60,,"59,498",,"5,635,793"
194,RE,Nickelback - How You Remind Me,61,110,,"59,257",,"3,855,196"
195,RE,Corrella - Blue Eyed Māori,97,4,,"59,089",,"10,470,106"
196,RE,Tracy Chapman - Fast Car,70,51,,"58,933",,"3,791,861"
197,RE,The Game - Hate It Or Love It (w/ 50 Cent),98,29,,"58,662",,"6,872,932"
198,+1,Foo Fighters - Everlong,125,38,,"58,566","+1,887","7,941,988"
199,-19,The Kid LAROI - NIGHTS LIKE THIS,63,18,,"58,530",+179,"5,882,670"
200,-14,Drake - NOKIA,35,4,,"58,454",+707,"4,115,971"
